iterations,loss_c,loss_e,total_loss,error_c,error_u,error_v,error_p
175000,4.641656232706737e-06,8.301403795485385e-06,1.2943060028192122e-05,0.00044741048,0.025709977,0.02088965,2.9472945
176000,4.321637788962107e-06,1.0032696081907488e-05,1.4354333870869596e-05,0.00069995294,0.0046165315,0.032133654,2.761538
177000,5.896821221540449e-06,7.843327693990432e-06,1.3740149370278232e-05,0.00060489564,0.0059578316,0.055035047,2.4317389
178000,4.664626430894714e-06,3.4695617614488583e-06,8.134187737596221e-06,0.0007664543,0.0080983555,0.0125672715,2.8109374
179000,4.264856670488371e-06,2.3019979380478617e-06,6.566854608536232e-06,1.5213605e-05,0.0011010903,0.09568327,2.4461796
180000,3.901496256730752e-06,1.8286056047145394e-06,5.730101747758454e-06,0.00035575405,4.6318666e-05,0.12728292,2.300338
181000,4.1847788452287205e-06,3.0091846383584198e-06,7.19396348358714e-06,0.00040334035,0.0062560234,0.014691304,2.8237026
182000,6.253416813706281e-06,6.930471499799751e-06,1.318388785875868e-05,0.0003154076,0.0027347915,0.23596978,2.461979
183000,4.241231181367766e-06,1.0721985745476559e-05,1.4963216926844325e-05,0.0007889047,0.003409455,0.009412123,2.3305473
184000,4.1854154915199615e-06,3.5061159451288404e-06,7.691531209275126e-06,0.00073095405,0.029155726,0.008044515,2.721016
185000,7.180173724918859e-06,7.29486328054918e-06,1.447503746021539e-05,0.00081066746,0.027757868,0.0067029516,2.8142984
186000,4.7430717131646816e-06,3.1843828764976934e-06,7.927454134915024e-06,0.0005194763,0.017972514,0.048217386,2.7801244
187000,4.606142738339258e-06,4.057691967318533e-06,8.663834705657791e-06,1.9637026e-05,0.011867255,0.02745779,2.859643
188000,5.352234893507557e-06,4.74530770588899e-06,1.0097543054143898e-05,0.0014949087,0.007338843,0.055316005,2.5623784
189000,4.359379090601578e-06,7.861371159378905e-06,1.2220750249980483e-05,0.00022535893,0.026350994,0.0014516341,3.033374
